Status_Code,Content_Type,Response_Headers_Text,Server_Tech_Text,Body_Title_Text,Response_Size,Label_Is_Valuable_Target,Scan_ID,Trace_ID,Source_Module,Response_Time_ms,Body_Snippet_Text,Error_Signatures_Text,Redirect_Location_Text,Response_Header_Raw_Ordered_Text,Response_Header_Canonical_Text,Response_Header_Semantic_Text,Response_Security_Headers_Text,Set_Cookie_Semantic_Text,Label_Source
200,,"content-encoding: gzip
content-length: 1523
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",,,8233,1,20260504_204711,f6717f4a19264aeb9963f10cc819c2b6,recon.track_redirects,699.337,"SQL injection vulnerability in WHERE clause allowing retrieval of hidden data SQL injection vulnerability in WHERE clause allowing retrieval of hidden data Back&nbsp;to&nbsp;lab&nbsp;description&nbsp; LAB Not solved Home | Refine your search: All Accessories Clothing, shoes and accessories Gifts Tech gifts Giant Pillow Thing $61.65 View details Six Pack Beer Belt $42.21 View details ZZZZZZ Bed - Your New Home Office $65.34 View details Vintage Neck Defender $54.52 View details First Impression Costumes $99.74 View details Hologram Stand In $56.39 View details Snow Delivered To Your Door $40.03 View details Couple&apos;s Umbrella $28.85 View details High-End Gift Wrapping $84.83 View details Grow Your Own Spy Kit $79.94 View details",,,"content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN
content-encoding: gzip
content-length: 1523","content-encoding: gzip
content-length: 1523
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",response_content_type_html security_header_x_frame_options_present,x_frame_options,,passive_trace
,,,,,0,0,20260504_204711,76b017f236a44d2184c6e97672b34ffc,recon.response_analysis,0.0,,,,,,,,,response_analysis
200,,"connection: close
content-encoding: gzip
content-length: 1523
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",,,8233,0,20260504_204711,3623df1551dd4a12aff4db95aaa31a22,path_analyze.page.depth_0,734.004,"SQL injection vulnerability in WHERE clause allowing retrieval of hidden data SQL injection vulnerability in WHERE clause allowing retrieval of hidden data Back&nbsp;to&nbsp;lab&nbsp;description&nbsp; LAB Not solved Home | Refine your search: All Accessories Clothing, shoes and accessories Gifts Tech gifts Giant Pillow Thing $61.65 View details Six Pack Beer Belt $42.21 View details ZZZZZZ Bed - Your New Home Office $65.34 View details Vintage Neck Defender $54.52 View details First Impression Costumes $99.74 View details Hologram Stand In $56.39 View details Snow Delivered To Your Door $40.03 View details Couple&apos;s Umbrella $28.85 View details High-End Gift Wrapping $84.83 View details Grow Your Own Spy Kit $79.94 View details",,,"content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN
content-encoding: gzip
connection: close
content-length: 1523","connection: close
content-encoding: gzip
content-length: 1523
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",response_content_type_html security_header_x_frame_options_present,x_frame_options,,path_crawl_page
200,,"connection: close
content-encoding: gzip
content-length: 1532
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",,,4209,0,20260504_204711,f8720659052a44e98d6c39537069cf9b,path_analyze.page.depth_1,968.817,"SQL injection vulnerability in WHERE clause allowing retrieval of hidden data SQL injection vulnerability in WHERE clause allowing retrieval of hidden data Back&nbsp;to&nbsp;lab&nbsp;description&nbsp; LAB Not solved Home | ZZZZZZ Bed - Your New Home Office $65.34 Description: We are delighted to introduce you to our new, state of the art, home office. ZZZZZZ Bed is a revolutionary space-saving concept for those of you struggling to fit everything into your tiny home. But it's not just about its useful integration in your existing room, it's also about the convenience it offers in your work and leisure time. Picture this, you are halfway through your working day and it's time for a well-earned nap. You will be able to save time by moving your work to one side, as you lie back and drift off without interrupting the natural flow of the day. When you've had your power nap, and are ready to get back to it everything is there waiting for you. Nothing can offer you a work-life balance like the ZZZZZZ bed can. Sleep in comfort when you need to, whatever time of day it is. Wake up and work any time sleep is getting the better of you, your office will always be at your fingertips. Call us today for a free quote and to discuss any of our innovative add-ons you will wonder how you ever lived without Return to list",redirect_hint,,"content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN
content-encoding: gzip
connection: close
content-length: 1532","connection: close
content-encoding: gzip
content-length: 1532
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",response_content_type_html security_header_x_frame_options_present,x_frame_options,,path_crawl_page
200,,"connection: close
content-encoding: gzip
content-length: 1267
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",,,4909,0,20260504_204711,d8e4cd2cdce54cb3bf98fa5a936c30fd,path_analyze.page.depth_1,966.216,"SQL injection vulnerability in WHERE clause allowing retrieval of hidden data SQL injection vulnerability in WHERE clause allowing retrieval of hidden data Back to lab home Back&nbsp;to&nbsp;lab&nbsp;description&nbsp; LAB Not solved Home | Gifts Refine your search: All Accessories Clothing, shoes and accessories Gifts Tech gifts Snow Delivered To Your Door $40.03 View details Couple&apos;s Umbrella $28.85 View details High-End Gift Wrapping $84.83 View details",,,"content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN
content-encoding: gzip
connection: close
content-length: 1267","connection: close
content-encoding: gzip
content-length: 1267
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",response_content_type_html security_header_x_frame_options_present,x_frame_options,,path_crawl_page
200,,"connection: close
content-encoding: gzip
content-length: 1262
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",,,4894,0,20260504_204711,1351c5d02dd5475e9537ae081140e05a,path_analyze.page.depth_1,954.56,"SQL injection vulnerability in WHERE clause allowing retrieval of hidden data SQL injection vulnerability in WHERE clause allowing retrieval of hidden data Back to lab home Back&nbsp;to&nbsp;lab&nbsp;description&nbsp; LAB Not solved Home | Tech gifts Refine your search: All Accessories Clothing, shoes and accessories Gifts Tech gifts Grow Your Own Spy Kit $79.94 View details Eye Projectors $0.81 View details Lightbulb Moments $31.38 View details",,,"content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN
content-encoding: gzip
connection: close
content-length: 1262","connection: close
content-encoding: gzip
content-length: 1262
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",response_content_type_html security_header_x_frame_options_present,x_frame_options,,path_crawl_page
200,,"connection: close
content-encoding: gzip
content-length: 1476
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",,,4078,0,20260504_204711,7ceabd954d5e453b879c11b6f9dc3c0f,path_analyze.page.depth_1,954.522,"SQL injection vulnerability in WHERE clause allowing retrieval of hidden data SQL injection vulnerability in WHERE clause allowing retrieval of hidden data Back&nbsp;to&nbsp;lab&nbsp;description&nbsp; LAB Not solved Home | Vintage Neck Defender $54.52 Description: It can be incredibly hard for flamboyant people to deal with medical accessories that become part of the aging process. When you want to dress to impress and you're stuck with an ugly neck brace that doesn't show you at your best can be very frustrating. Our reasonably priced Vintage Neck Defender is the answer to all your prayers. This amazingly stylish, oversized Elizabethan ruffle will be the toast of the town, and the talk as well as envy, of all your friends. Make an entrance that will stop people in their tracks, heads will turn as you become the focus of everyone's attention in the room. Age will become just a number as you regain that youthful spring in your step. Lightweight, but secure despite its size, your back and shoulders will be free from any pressure as you dance until dawn. Love life and live, order yours today and you'll receive a free nose scratcher as a thank you from us. Return to list",redirect_hint,,"content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN
content-encoding: gzip
connection: close
content-length: 1476","connection: close
content-encoding: gzip
content-length: 1476
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",response_content_type_html security_header_x_frame_options_present,x_frame_options,,path_crawl_page
200,,"connection: close
content-encoding: gzip
content-length: 1492
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",,,4061,0,20260504_204711,bf9a2d3e9d194821b23fba8c0c2f9bb4,path_analyze.page.depth_1,1041.187,"SQL injection vulnerability in WHERE clause allowing retrieval of hidden data SQL injection vulnerability in WHERE clause allowing retrieval of hidden data Back&nbsp;to&nbsp;lab&nbsp;description&nbsp; LAB Not solved Home | High-End Gift Wrapping $84.83 Description: We offer a completely unique gift wrapping experience - the gift that just keeps on giving. We can crochet any shape and size to order. We also collect worldwide, we do the hard work so you don't have to. The gift is no longer the only surprise. Your friends and family will be delighted at our bespoke wrapping, each item 100% original, something that will be talked about for many years to come. Due to the intricacy of this service, you must allow 3 months for your order to be completed. So. organization is paramount, no leaving shopping until the last minute if you want to take advantage of this fabulously wonderful new way to present your gifts. Get in touch, tell us what you need to be wrapped, and we can give you an estimate within 24 hours. Let your funky originality extend to all areas of your life. We love every project we work on, so don't delay, give us a call today. Return to list",redirect_hint,,"content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN
content-encoding: gzip
connection: close
content-length: 1492","connection: close
content-encoding: gzip
content-length: 1492
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",response_content_type_html security_header_x_frame_options_present,x_frame_options,,path_crawl_page
200,,"connection: close
content-encoding: gzip
content-length: 1588
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",,,4282,0,20260504_204711,0c9b8d85b5e34a56a1fedf0e1062e854,path_analyze.page.depth_1,1071.292,"SQL injection vulnerability in WHERE clause allowing retrieval of hidden data SQL injection vulnerability in WHERE clause allowing retrieval of hidden data Back&nbsp;to&nbsp;lab&nbsp;description&nbsp; LAB Not solved Home | Snow Delivered To Your Door $40.03 Description: By Steam Train Direct From The North Pole We can deliver you the perfect Christmas gift of all. Imagine waking up to that white Christmas you have been dreaming of since you were a child. Your snow will be loaded on to our exclusive snow train and transported across the globe in time for the big day. In a few simple steps, your snow will be ready to scatter in the areas of your choosing. *Make sure you have an extra large freezer before delivery. *Decant the liquid into small plastic tubs (there is some loss of molecular structure during transit). *Allow 3 days for it to refreeze.*Chip away at each block until the ice resembles snowflakes. *Scatter snow. Yes! It really is that easy. You will be the envy of all your neighbors unless you let them in on the secret. We offer a 10% discount on future purchases for every referral we receive from you. Snow isn't just for Christmas either, we deliver all year round, that's 365 days of the year. Remember to order before your existing snow melts, and allow 3 days to prepare the new batch to avoid disappointment. Return to list",redirect_hint,,"content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN
content-encoding: gzip
connection: close
content-length: 1588","connection: close
content-encoding: gzip
content-length: 1588
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",response_content_type_html security_header_x_frame_options_present,x_frame_options,,path_crawl_page
200,,"connection: close
content-encoding: gzip
content-length: 1542
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",,,4233,0,20260504_204711,b3dad5c3288a4a7792c36069ec0fbd1a,path_analyze.page.depth_1,1073.182,"SQL injection vulnerability in WHERE clause allowing retrieval of hidden data SQL injection vulnerability in WHERE clause allowing retrieval of hidden data Back&nbsp;to&nbsp;lab&nbsp;description&nbsp; LAB Not solved Home | Lightbulb Moments $31.38 Description: How many times have you had a lightbulb moment and not had any way of writing it down, or your cell is out of reach and you've forgotten before you find it? Us to. That's why we have come up with the perfect solution. 'Lightbulb Moments' are unique, voice-activated, recording software units. Replace all those useless bulbs that give you nothing but light, and you'll never forget that viral idea again. With bayonet and screw fittings available they will fit easily into every lamp, and overhead light socket, in your home. When the idea hits you just call out, 'Lightbulb Moment', and your bulbs will be ready to start recording instantly. There is no need for a smartphone or tablet to retrieve your data, just say. 'Tell me', and the bulb will repeat back what you have recorded at a time that is convenient for you. Even better still, unlike regular light bulbs, these have a 10-year warranty and will be replaced for a discount of 10% of the original purchase price. No minimum order required, only buy what you need. Never miss that lightbulb moment again. Return to list",redirect_hint,,"content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN
content-encoding: gzip
connection: close
content-length: 1542","connection: close
content-encoding: gzip
content-length: 1542
content-type: text/html; charset=utf-8
x-frame-options: SAMEORIGIN",response_content_type_html security_header_x_frame_options_present,x_frame_options,,path_crawl_page
